,ocp_jl,ocp_wr,ocp_hd  ,class_mild,need,placement
6764,470,160,443,1,0,jail
6765,470,160,443,1,0,home detention
6766,474,151,444,0,1,jail
6767,474,151,444,0,1,jail
6768,474,151,444,0,1,jail
6769,474,151,444,0,1,home detention
6770,474,151,444,0,0,jail
6771,474,151,444,1,1,home detention
6772,474,151,444,1,1,home detention
6773,474,151,444,1,1,home detention
6774,474,151,444,1,1,home detention
6775,474,151,444,1,1,home detention
6776,474,151,444,1,1,home detention
6777,474,151,444,1,1,home detention
6778,474,151,444,1,1,home detention
6779,474,151,444,1,0,jail
6780,474,151,444,1,0,jail
6781,474,151,444,1,0,jail
6782,474,151,444,1,0,jail
6783,474,151,444,1,0,jail
6784,474,151,444,1,0,jail
6785,474,151,444,1,0,jail
6786,474,151,444,1,0,home detention
6787,474,151,444,1,0,home detention
6788,474,151,444,1,0,home detention
6789,482,151,450,0,1,jail
6790,482,151,450,0,1,home detention
6791,482,151,450,1,1,jail
6792,482,151,450,1,1,home detention
6793,482,151,450,1,1,home detention
6794,482,151,450,1,1,home detention
6795,482,151,450,1,1,home detention
6796,482,151,450,1,1,home detention
6797,482,151,450,1,0,jail
6798,482,151,450,1,0,jail
6799,482,151,450,1,0,jail
6800,482,151,450,1,0,jail
6801,482,151,450,1,0,home detention
6802,482,151,450,1,0,home detention
6803,487,139,455,0,1,work release
6804,487,139,455,0,1,work release
6805,487,139,455,0,0,work release
6806,487,139,455,0,0,work release
6807,487,139,455,0,0,work release
6808,487,139,455,0,0,work release
6809,487,139,455,0,0,work release
6810,487,139,455,1,1,work release
6811,487,139,455,1,1,work release
6812,487,139,455,1,1,work release
6813,487,139,455,1,0,work release
6814,487,139,455,1,0,work release
6815,487,139,455,1,0,work release
6816,487,139,455,1,0,work release
6817,485,146,447,0,1,work release
6818,485,146,447,0,0,work release
6819,485,146,447,0,0,work release
6820,485,146,447,0,0,work release
6821,485,146,447,0,0,work release
6822,485,146,447,1,1,work release
6823,485,146,447,1,1,work release
6824,485,146,447,1,1,work release
6825,485,146,447,1,1,work release
6826,485,146,447,1,1,work release
6827,485,146,447,1,0,work release
6828,485,146,447,1,0,work release
6829,485,146,447,1,0,work release
6830,485,146,447,1,0,work release
6831,472,160,441,0,1,jail
6832,472,160,441,0,1,home detention
6833,472,160,441,0,1,home detention
6834,472,160,441,0,0,jail
6835,472,160,441,0,0,jail
6836,472,160,441,0,0,jail
6837,472,160,441,0,0,jail
6838,472,160,441,1,1,home detention
6839,472,160,441,1,1,home detention
6840,472,160,441,1,1,home detention
6841,472,160,441,1,1,home detention
6842,472,160,441,1,0,jail
6843,472,160,441,1,0,jail
6844,472,160,441,1,0,jail
6845,472,160,441,1,0,home detention
6846,472,160,441,1,0,home detention
6847,470,160,442,0,1,home detention
6848,470,160,442,1,1,jail
6849,470,160,442,1,1,home detention
6850,470,160,442,1,1,home detention
6851,470,160,442,1,0,jail
6852,470,160,442,1,0,jail
6853,470,160,442,1,0,jail
6854,470,160,442,1,0,jail
6855,470,160,442,1,0,home detention
6856,470,160,442,1,0,home detention
